date,close
2020-10-12,3826.25
2020-10-13,3826.25
2020-10-14,3860.25
2020-10-15,3837.25
2020-10-16,3848.5
2020-10-19,3846.35009765625
2020-10-20,3843.0
2020-10-21,3823.25
2020-10-22,3764.75
2020-10-23,3782.25
2020-10-26,3787.75
2020-10-27,3813.10009765625
2020-10-28,3807.85009765625
2020-10-29,3828.25
2020-10-30,3859.5
2020-11-02,3888.0
2020-11-03,3867.60009765625
2020-11-04,3817.75
2020-11-05,3814.070068359375
2020-11-06,3752.25
2020-11-09,3721.25
2020-11-10,3647.4599609375
2020-11-11,3647.0
2020-11-12,3637.25
2020-11-13,3642.300048828125
2020-11-16,3640.0
2020-11-17,3642.64990234375
2020-11-18,3642.75
2020-11-19,3641.75
2020-11-20,3648.199951171875
2020-11-23,3631.199951171875
2020-11-24,3645.800048828125
2020-11-25,3634.25
2020-11-26,3615.949951171875
2020-11-27,3615.949951171875
2020-11-30,3605.14990234375
2020-12-01,3594.5
2020-12-02,3546.75
2020-12-03,3520.27001953125
2020-12-04,3466.75
2020-12-07,3464.0
2020-12-08,3488.25
2020-12-09,3488.75
2020-12-10,3474.75
2020-12-11,3418.699951171875
2020-12-14,3436.35009765625
2020-12-15,3426.25
2020-12-16,3417.949951171875
2020-12-17,3418.860107421875
2020-12-18,3412.35009765625
2020-12-21,3417.75
2020-12-22,3429.25
2020-12-23,3463.25
2020-12-24,3498.25
2020-12-25,3503.25
2020-12-28,3513.25
2020-12-29,3498.25
2020-12-30,3472.75
2020-12-31,3420.25
2021-01-01,3420.25
2021-01-04,3420.25
2021-01-05,3447.75
2021-01-06,3442.25
2021-01-07,3412.800048828125
2021-01-08,3488.239990234375
2021-01-11,3456.441650390625
2021-01-12,3499.25
2021-01-13,3475.25
2021-01-14,3475.5400390625
2021-01-15,3444.68994140625
2021-01-18,3417.6083984375
2021-01-19,3476.260009765625
2021-01-20,3489.909912109375
2021-01-21,3465.260009765625
2021-01-22,3480.0400390625
2021-01-25,3525.9599609375
2021-01-26,3586.260009765625
2021-01-27,3611.760009765625
2021-01-28,3604.260009765625
2021-01-29,3558.260009765625
2021-02-01,3567.260009765625
2021-02-02,3571.260009765625
2021-02-03,3527.0
2021-02-04,3533.9599609375
2021-02-05,3556.43994140625
2021-02-08,3553.75
2021-02-09,3569.25
2021-02-10,3574.550048828125
2021-02-11,3557.75
2021-02-12,3524.75
2021-02-15,3494.75
2021-02-16,3494.75
2021-02-17,3525.080078125
2021-02-18,3526.449951171875
2021-02-19,3545.580078125
2021-02-22,3511.893310546875
2021-02-23,3591.75
2021-02-24,3592.75
2021-02-25,3563.25
2021-02-26,3608.699951171875
2021-03-01,3645.25
2021-03-02,3617.75
2021-03-03,3654.75
2021-03-04,3680.0
2021-03-05,3643.14990234375
2021-03-08,3633.39990234375
2021-03-09,3602.949951171875
2021-03-10,3590.75
2021-03-11,3551.0
2021-03-12,3554.25
2021-03-15,3503.31494140625
2021-03-16,3557.25
2021-03-17,3557.75
2021-03-18,3569.25
2021-03-19,3545.0
2021-03-22,3510.593017578125
2021-03-23,3557.64990234375
2021-03-24,3617.75
2021-03-25,3647.64990234375
2021-03-26,3666.25
2021-03-29,3688.139892578125
2021-03-30,3717.239990234375
2021-03-31,3728.25
2021-04-01,3659.949951171875
2021-04-02,3659.949951171875
2021-04-05,3659.949951171875
2021-04-06,3672.25
2021-04-07,3634.75
2021-04-08,3652.840087890625
2021-04-09,3627.300048828125
2021-04-12,3657.75
2021-04-13,3663.25
2021-04-14,3667.0
2021-04-15,3655.050048828125
2021-04-16,3610.25
2021-04-19,3573.736572265625
2021-04-20,3625.25
2021-04-21,3641.25
2021-04-22,3612.25
2021-04-23,3633.60009765625
2021-04-26,3626.75
2021-04-27,3693.260009765625
2021-04-28,3716.0
2021-04-29,3694.260009765625
2021-04-30,3713.360107421875
2021-05-03,3751.56005859375
2021-05-04,3803.199951171875
2021-05-05,3827.75
2021-05-06,3849.260009765625
2021-05-07,3801.0
2021-05-10,3748.260009765625
2021-05-11,3705.06005859375
2021-05-12,3710.260009765625
2021-05-13,3748.760009765625
2021-05-14,3719.360107421875
2021-05-17,3683.760009765625
2021-05-18,3683.760009765625
2021-05-19,3658.260009765625
2021-05-20,3683.199951171875
2021-05-21,3717.050048828125
2021-05-24,3745.25
2021-05-25,3732.75
2021-05-26,3737.75
2021-05-27,3741.25
2021-05-28,3719.9599609375
2021-05-31,3706.25
2021-06-01,3706.25
2021-06-02,3664.550048828125
2021-06-03,3651.75
2021-06-04,3659.25
2021-06-07,3605.75
2021-06-08,3605.75
2021-06-09,3592.85009765625
2021-06-10,3587.179931640625
2021-06-11,3602.489990234375
2021-06-14,3652.75
2021-06-15,3652.75
2021-06-16,3696.25
2021-06-17,3672.25
2021-06-18,3727.25
2021-06-21,3767.25
2021-06-22,3758.300048828125
2021-06-23,3780.35009765625
2021-06-24,3782.300048828125
2021-06-25,3764.5
2021-06-28,3726.058349609375
2021-06-29,3701.25
2021-06-30,3765.75
2021-07-01,3748.25
2021-07-02,3776.0
2021-07-05,3740.25
2021-07-06,3740.25
2021-07-07,3777.75
2021-07-08,3828.0
2021-07-09,3839.25
2021-07-12,3829.25
2021-07-13,3820.35009765625
2021-07-14,3821.449951171875
2021-07-15,3792.27001953125
2021-07-16,3803.0
2021-07-19,3815.85009765625
2021-07-20,3768.54833984375
2021-07-21,3833.75
2021-07-22,3853.25
2021-07-23,3868.449951171875
2021-07-26,3887.25
2021-07-27,3909.0
2021-07-28,3930.25
2021-07-29,3871.75
2021-07-30,3845.85009765625
2021-08-02,3876.25
2021-08-03,3889.75
2021-08-04,3908.0
2021-08-05,3901.25
2021-08-06,3916.25
2021-08-09,3965.35009765625
2021-08-10,3995.60009765625
2021-08-11,3966.25
2021-08-12,3940.449951171875
2021-08-13,3857.25
2021-08-16,3840.449951171875
2021-08-17,3840.449951171875
2021-08-18,3878.25
2021-08-19,3849.75
2021-08-20,3868.64990234375
2021-08-23,3870.25
2021-08-24,3880.199951171875
2021-08-25,3865.25
2021-08-26,3863.75
2021-08-27,3866.0
2021-08-30,3827.260009765625
2021-08-31,3815.0
2021-09-01,3767.39990234375
2021-09-02,3758.25
2021-09-03,3793.25
